confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,394,,83A-brf,{},,,35865,35865
,,394,,83A-ber,{},,,35703,35703
,,394,,83A-bik,{},,,71809,71809
,,394,,83A-bid,{},,,36013,36013
,,394,,83A-bkl,{},,,42664,42664
,,394,,83A-bil,{},,,47281,47281
,,394,,83A-bmb,{},,,32092,32092
,,394,,83A-big,{},,,35530,35530
,,394,,83A-bni,{},,,32728,32728
,,394,,83A-bia,{},,,56369,56369
,,394,,83A-bii,{},,,57610,57610
,,394,,83A-bir,{},,,32850,32850
,,394,,83A-bla,{},,,49352,49352
,,394,,83A-bob,{},,,33381,33381
,,394,,83A-bol,{},,,33406,33406
,,394,,83A-bgo,{},,,35315,35315
,,394,,83A-btk,{},,,42585,42585
,,394,,83A-brr,{},,,53759,53759
,,394,,83A-bra,{},,,42165,42165
,,394,,83A-bre,{},,,38088,38088
,,394,,83A-bub,{},,,33209,33209
,,394,,83A-bdu,{},,,63623,63623
,,394,,83A-bud,{},,,36273,36273
,,394,,83A-bug,{},,,42767,42767
,,394,,83A-bul,{},,,38539,38539
,,394,,83A-buy,{},,,63041,63041
,,394,,83A-bum,{},,,44445,44445
,,394,,83A-pnu,{},,,41974,41974
,,394,,83A-buu,{},,,43261,43261
,,394,,83A-brn,{},,,36831,36831
,,394,,83A-bsh,{},,,33471,33471
,,394,,83A-cak,{},,,56257,56257
,,394,,83A-cax,{},,,53061,53061
,,394,,83A-cnt,{},,,40198,40198
,,394,,83A-ctl,{},,,37973,37973
,,394,,83A-cyv,{},,,52677,52677
,,394,,83A-ceb,{},,,42700,42700
,,394,,83A-cem,{},,,44544,44544
,,394,,83A-cga,{},,,33540,33540
,,394,,83A-cme,{},,,43241,43241
,,394,,83A-cha,{},,,42484,42484
,,394,,83A-chw,{},,,43248,43248
,,394,,83A-cso,{},,,51389,51389
,,394,,83A-cya,{},,,57451,57451
,,394,,83A-cic,{},,,34032,34032
,,394,,83A-ccm,{},,,51291,51291
,,394,,83A-cle,{},,,51317,51317
,,394,,83A-cpl,{},,,51343,51343
,,394,,83A-chq,{},,,51367,51367
,,394,,83A-ckl,{},,,49986,49986
,,394,,83A-cqt,{},,,57850,57850
,,394,,83A-chx,{},,,51092,51092
,,394,,83A-cmy,{},,,50637,50637
,,394,,83A-chr,{},,,42113,42113
,,394,,83A-chj,{},,,50678,50678
,,394,,83A-cba,{},,,50883,50883
,,394,,83A-coc,{},,,52915,52915
,,394,,83A-coe,{},,,57473,57473
,,394,,83A-cmx,{},,,49565,49565
,,394,,83A-cop,{},,,35786,35786
,,394,,83A-cor,{},,,52043,52043
,,394,,83A-crn,{},,,38138,38138
,,394,,83A-cre,{},,,49374,49374
,,394,,83A-cea,{},,,49389,49389
,,394,,83A-cua,{},,,42178,42178
,,394,,83A-cuc,{},,,57813,57813
,,394,,83A-cze,{},,,38514,38514
,,394,,83A-dga,{},,,32058,32058
,,394,,83A-dgb,{},,,32072,32072
,,394,,83A-dsh,{},,,38163,38163
,,394,,83A-day,{},,,32227,32227
,,394,,83A-deg,{},,,32768,32768
,,394,,83A-did,{},,,34569,34569
,,394,,83A-dio,{},,,31782,31782
,,394,,83A-dok,{},,,33430,33430
,,394,,83A-dom,{},,,37236,37236
,,394,,83A-don,{},,,42320,42320
,,394,,83A-doy,{},,,32148,32148
,,394,,83A-dre,{},,,44620,44620
,,394,,83A-dua,{},,,33201,33201
,,394,,83A-duk,{},,,32996,32996
,,394,,83A-dma,{},,,33319,33319
,,394,,83A-ebi,{},,,32636,32636
,,394,,83A-erk,{},,,73867,73867
,,394,,83A-ega,{},,,32554,32554
,,394,,83A-eko,{},,,34121,34121
,,394,,83A-ora,{},,,65052,65052
,,394,,83A-egn,{},,,32744,32744
,,394,,83A-eno,{},,,42990,42990
,,394,,83A-eng,{},,,38316,38316
,,394,,83A-err,{},,,44492,44492
,,394,,83A-esm,{},,,57827,57827
,,394,,83A-est,{},,,38876,38876
,,394,,83A-ewe,{},,,32579,32579
,,394,,83A-ewo,{},,,33269,33269
,,394,,83A-fij,{},,,45063,45063
,,394,,83A-fin,{},,,38849,38849
,,394,,83A-fon,{},,,32603,32603
,,394,,83A-fre,{},,,37946,37946
,,394,,83A-fua,{},,,31732,31732
,,394,,83A-fut,{},,,45158,45158
,,394,,83A-fye,{},,,32875,32875
,,394,,83A-ga,{},,,32566,32566
,,394,,83A-gnd,{},,,36053,36053
,,394,,83A-gae,{},,,38062,38062
,,394,,83A-grf,{},,,53143,53143
,,394,,83A-grr,{},,,47841,47841
,,394,,83A-gbk,{},,,32241,32241
,,394,,83A-gbb,{},,,32256,32256
,,394,,83A-gel,{},,,44841,44841
,,394,,83A-gla,{},,,68385,68385
,,394,,83A-giz,{},,,63908,63908
,,394,,83A-goa,{},,,53202,53202
,,394,,83A-goe,{},,,56570,56570
,,394,,83A-gok,{},,,32971,32971
,,394,,83A-grb,{},,,31906,31906
,,394,,83A-grk,{},,,37842,37842
,,394,,83A-gjj,{},,,52832,52832
,,394,,83A-gua,{},,,52879,52879
,,394,,83A-gto,{},,,57312,57312
,,394,,83A-gud,{},,,36203,36203
,,394,,83A-gul,{},,,35432,35432
,,394,,83A-gir,{},,,32240,32240
,,394,,83A-gmz,{},,,35743,35743
,,394,,83A-gnb,{},,,47690,47690
,,394,,83A-guw,{},,,66160,66160
,,394,,83A-gwo,{},,,32899,32899
,,394,,83A-hak,{},,,40187,40187
,,394,,83A-hal,{},,,44293,44293
